avg_num_trxns,False Positives,False Negatives
0.03,4028,0
1.03,1533,275
2.0300000000000002,594,517
3.0300000000000002,222,583
4.03,92,612
5.03,34,627
6.03,24,633
7.03,13,637
8.030000000000001,11,637
9.030000000000001,10,638
10.030000000000001,9,639
11.030000000000001,8,639
12.030000000000001,7,639
13.030000000000001,7,639
14.030000000000001,6,639
15.030000000000001,5,639
16.03,4,639
17.03,3,639
18.03,2,639
19.03,2,640
20.03,2,640
21.03,2,640
22.03,2,640
23.03,2,640
24.03,2,640
25.03,2,640
26.03,2,640
27.03,2,640
28.03,2,640
29.03,2,640
30.03,2,640
31.03,2,640
32.03,2,640
33.03,1,640
34.03,1,640
35.03,1,640
36.03,1,640
37.03,1,640
38.03,1,640
39.03,1,640
40.03,1,640
41.03,1,640
42.03,1,640
43.03,1,640
44.03,1,640
45.03,1,640
46.03,1,640
47.03,1,640
48.03,1,640
49.03,0,640
