avg_trxn_amt,False Positives,False Negatives
485.0,4028,0
93758.0,2153,127
187031.0,1000,349
280304.0,570,457
373577.0,384,499
466850.0,283,538
560123.0,219,555
653396.0,166,568
746669.0,128,584
839942.0,105,595
933215.0,93,605
1026488.0,81,619
1119761.0,69,624
1213034.0,58,629
1306307.0,53,630
1399580.0,48,630
1492853.0,46,632
1586126.0,43,632
1679399.0,40,633
1772672.0,35,633
1865945.0,35,633
1959218.0,31,635
2052491.0,26,637
2145764.0,22,637
2239037.0,22,637
2332310.0,20,637
2425583.0,18,637
2518856.0,16,638
2612129.0,15,638
2705402.0,14,638
2798675.0,12,638
2891948.0,10,638
2985221.0,10,638
3078494.0,10,638
3171767.0,10,638
3265040.0,9,638
3358313.0,9,638
3451586.0,8,638
3544859.0,8,638
3638132.0,8,638
3731405.0,8,638
3824678.0,8,638
3917951.0,8,638
4011224.0,7,638
4104497.0,6,638
4197770.0,6,639
4291043.0,6,639
4384316.0,5,639
4477589.0,5,639
4570862.0,5,639
4664135.0,5,639
4757408.0,5,639
4850681.0,5,640
4943954.0,5,640
5037227.0,5,640
5130500.0,5,640
5223773.0,5,640
5317046.0,5,640
5410319.0,4,640
5503592.0,4,640
5596865.0,4,640
5690138.0,4,640
5783411.0,4,640
5876684.0,3,640
5969957.0,3,640
6063230.0,3,640
6156503.0,2,640
6249776.0,2,640
6343049.0,1,640
6436322.0,1,640
6529595.0,1,640
6622868.0,1,640
6716141.0,1,640
6809414.0,1,640
6902687.0,1,640
6995960.0,1,640
7089233.0,1,640
7182506.0,1,640
7275779.0,1,640
7369052.0,1,640
7462325.0,1,640
7555598.0,1,640
7648871.0,1,640
7742144.0,1,640
7835417.0,1,640
7928690.0,1,640
8021963.0,1,640
8115236.0,1,640
8208509.0,1,640
8301782.0,1,640
8395055.0,1,640
8488328.0,1,640
8581601.0,1,640
8674874.0,1,640
8768147.0,1,640
8861420.0,1,640
8954693.0,1,640
9047966.0,1,640
9141239.0,1,640
9234512.0,1,640
9327785.0,1,640
9421058.0,0,640
