trxn_amt_monthly,False Positives,False Negatives
485.0,4028,0
222054.0,3497,14
443623.0,2473,91
665192.0,1639,197
886761.0,1145,296
1108330.0,790,441
1329899.0,542,511
1551468.0,367,537
1773037.0,254,561
1994606.0,186,588
2216175.0,135,606
2437744.0,100,611
2659313.0,73,618
2880882.0,57,623
3102451.0,40,628
3324020.0,33,630
3545589.0,29,631
3767158.0,26,632
3988727.0,24,634
4210296.0,19,635
4431865.0,18,635
4653434.0,18,635
4875003.0,15,635
5096572.0,14,635
5318141.0,14,637
5539710.0,14,637
5761279.0,12,638
5982848.0,11,638
6204417.0,11,639
6425986.0,11,639
6647555.0,8,639
6869124.0,7,639
7090693.0,7,639
7312262.0,6,639
7533831.0,6,639
7755400.0,6,639
7976969.0,6,639
8198538.0,6,639
8420107.0,4,639
8641676.0,4,639
8863245.0,4,639
9084814.0,3,639
9306383.0,3,639
9527952.0,2,639
9749521.0,2,639
9971090.0,2,639
10192659.0,2,639
10414228.0,1,639
10635797.0,1,639
10857366.0,1,639
11078935.0,1,639
11300504.0,1,639
11522073.0,1,639
11743642.0,1,639
11965211.0,1,639
12186780.0,1,640
12408349.0,1,640
12629918.0,1,640
12851487.0,1,640
13073056.0,1,640
13294625.0,1,640
13516194.0,1,640
13737763.0,1,640
13959332.0,1,640
14180901.0,1,640
14402470.0,1,640
14624039.0,1,640
14845608.0,1,640
15067177.0,1,640
15288746.0,1,640
15510315.0,1,640
15731884.0,1,640
15953453.0,1,640
16175022.0,1,640
16396591.0,1,640
16618160.0,1,640
16839729.0,1,640
17061298.0,1,640
17282867.0,1,640
17504436.0,1,640
17726005.0,1,640
17947574.0,1,640
18169143.0,1,640
18390712.0,1,640
18612281.0,1,640
18833850.0,1,640
19055419.0,1,640
19276988.0,1,640
19498557.0,1,640
19720126.0,1,640
19941695.0,1,640
20163264.0,1,640
20384833.0,1,640
20606402.0,1,640
20827971.0,1,640
21049540.0,1,640
21271109.0,1,640
21492678.0,1,640
21714247.0,1,640
21935816.0,1,640
22157385.0,1,640
22378954.0,0,640
